Title	URL	Assignees	Status	Labels	Linked pull requests	Milestone	Repository	Reviewers
fix create Announcement button bug	https://github.com/WanderPals/WanderPals/issues/349	tosigame	In Development	3h, Code Implementation, Frontend, Sprint#9			WanderPals/WanderPals	
Add offline visuals for Admin Panel	https://github.com/WanderPals/WanderPals/issues/350	mtv47	In Development	3h, Backend, Code Implementation, Sprint#9			WanderPals/WanderPals	
Modify Geocords to make less api requests	https://github.com/WanderPals/WanderPals/issues/351	mtv47	In Development	3h, Backend, Code Implementation, Sprint#9			WanderPals/WanderPals	
Start working on PRD	https://github.com/WanderPals/WanderPals/issues/352	mtv47	In Development	3h, Organization, Sprint#9			WanderPals/WanderPals	
Rework the menu in the dashboard	https://github.com/WanderPals/WanderPals/issues/353	AgeX21	In Development	4h, Backend, Frontend, Sprint#9			WanderPals/WanderPals	
Redesign UI for Expenses, Debt and Notification 	https://github.com/WanderPals/WanderPals/issues/354	AgeX21	In Development	4h, Code Implementation, Frontend, Sprint#9			WanderPals/WanderPals	
Add the possibility to settle debt in the debt screen	https://github.com/WanderPals/WanderPals/issues/355	AgeX21	In Development	4h, Code Implementation, Frontend, Sprint#9			WanderPals/WanderPals	
Fix dark theme troughout all the app	https://github.com/WanderPals/WanderPals/issues/356	ForestDope	In Development	4h, Code Implementation, Frontend, Sprint#9			WanderPals/WanderPals	
Fix user names displayed in various screens	https://github.com/WanderPals/WanderPals/issues/357	ForestDope	In Development	3h, Figma, Frontend, Sprint#9			WanderPals/WanderPals	
Augment code coverage and reduce code complexity 	https://github.com/WanderPals/WanderPals/issues/358	ForestDope	In Development	4h, Backend, Code Implementation, Frontend, Sprint#9			WanderPals/WanderPals	
Create a Server to secure and avoid depreciation	https://github.com/WanderPals/WanderPals/issues/359	Polo150202	In Development	4h, Backend, Code Implementation, Sprint#9			WanderPals/WanderPals	
start PRD	https://github.com/WanderPals/WanderPals/issues/360	Polo150202	In Development	3h, Organization, Sprint#9			WanderPals/WanderPals	
Develop the agenda markers for more status associated with different colors.	https://github.com/WanderPals/WanderPals/issues/361	annhit29	In Development	4h, Backend, Code Implementation, Sprint#9			WanderPals/WanderPals	
In Suggestions, make the suggestion UI coherant with other screens 	https://github.com/WanderPals/WanderPals/issues/362	annhit29	In Development	3h, Backend, Code Implementation, Sprint#10			WanderPals/WanderPals	
In Suggestions, make the code cleaner	https://github.com/WanderPals/WanderPals/issues/363	annhit29	In Development	3h, Backend, Code Implementation, Frontend, Sprint#10			WanderPals/WanderPals	
